index_code,date,open,close,low,high,volume,money,change,label
999999,1990-12-19,96.05,99.98,95.79,99.98,0,0,0.03930786157231453,104.39
999999,1990-12-20,104.3,104.39,99.98,104.39,0,0,0.04224542580706961,109.13
999999,1990-12-21,109.07,109.13,103.73,109.13,0,0,0.04343443599376885,114.55
999999,1990-12-24,113.57,114.55,109.13,114.55,0,0,0.047315582714971646,120.25
999999,1990-12-25,120.09,120.25,114.55,120.25,0,0,0.047401247401247425,125.27
999999,1990-12-26,125.27,125.27,120.25,125.27,0,0,0.04007344136664801,125.28
999999,1990-12-27,125.27,125.28,125.27,125.28,0,0,7.982120051089652E-5,126.45
999999,1990-12-28,126.39,126.45,125.28,126.45,108,108,0.00925266903914592,127.61
999999,1990-12-31,126.56,127.61,126.48,127.61,0,0,0.009090196693049108,128.84
999999,1991-01-02,127.61,128.84,127.61,128.84,91,91,0.009546724619683358,130.14
999999,1991-01-03,128.84,130.14,128.84,130.14,141,141,0.009989242354387452,131.44
999999,1991-01-04,131.27,131.44,130.14,131.44,0,0,0.009890444309190592,132.06
999999,1991-01-07,131.99,132.06,131.45,132.06,217,217,0.004694835680751208,132.68
999999,1991-01-08,132.62,132.68,132.06,132.68,0,0,0.004672897196261717,133.34
999999,1991-01-09,133.3,133.34,132.68,133.34,5603,5603,0.004949752512374356,133.97
999999,1991-01-10,133.93,133.97,133.34,133.97,0,0,0.004702545345972945,134.6
999999,1991-01-11,134.61,134.6,134.51,134.61,13327,13327,0.0046805349182763405,134.67
999999,1991-01-14,134.11,134.67,134.11,135.19,0,0,5.197891141307877E-4,134.74
999999,1991-01-15,134.21,134.74,134.19,134.74,1446,1446,5.195190737718688E-4,134.24
999999,1991-01-16,134.19,134.24,134.14,134.74,509,509,-0.0037246722288438614,134.25
999999,1991-01-17,133.67,134.25,133.65,134.25,0,0,7.448789571687825E-5,134.24
999999,1991-01-18,133.7,134.24,133.67,134.25,3004,3004,-7.449344457680948E-5,134.24
999999,1991-01-21,133.7,134.24,133.66,134.24,2051,2051,0.0,133.72
999999,1991-01-22,133.72,133.72,133.66,134.24,0,0,-0.0038887227041580186,133.17
999999,1991-01-23,133.17,133.17,133.14,133.72,1095,1095,-0.004130059322670357,132.61
999999,1991-01-24,132.61,132.61,132.57,133.17,0,0,-0.004222909282859315,132.05
999999,1991-01-25,132.05,132.05,132.03,132.07,3447,3447,-0.004240817872018192,131.46
999999,1991-01-28,131.46,131.46,131.46,131.55,5107,5107,-0.004488057203712182,130.95
999999,1991-01-29,130.95,130.95,130.95,130.97,0,0,-0.0038946162657504343,130.44
999999,1991-01-30,130.44,130.44,130.41,130.95,527,527,-0.00390984360625568,129.97
999999,1991-01-31,129.93,129.97,129.93,130.46,0,0,-0.003616219127490951,129.51
999999,1991-02-01,129.5,129.51,129.45,129.97,345,345,-0.003551849278048089,129.05
999999,1991-02-04,129.05,129.05,129.05,129.58,0,0,-0.003564509879891356,128.58
999999,1991-02-05,128.56,128.58,128.53,128.58,8562,8562,-0.0036553118680976732,129.14
999999,1991-02-06,129.13,129.14,128.06,129.15,0,0,0.004336379123431732,129.79
999999,1991-02-07,129.74,129.79,129.14,129.79,2133,2133,0.005008089991524815,130.38
999999,1991-02-08,130.36,130.38,129.79,130.39,1234,1234,0.0045252339315846254,130.97
999999,1991-02-11,130.92,130.97,130.39,130.97,9317,9317,0.0045048484385737456,131.35
999999,1991-02-12,131.54,131.35,130.97,131.56,0,0,0.0028930338789493375,131.92
999999,1991-02-13,131.93,131.92,131.35,131.93,1152,1152,0.00432080048514246,132.53
999999,1991-02-14,132.53,132.53,132.3,132.53,3624,3624,0.0046027314570287,133.13
999999,1991-02-19,133.12,133.13,133.08,133.14,1748,1748,0.004506872981296434,133.67
999999,1991-02-20,133.63,133.67,133.13,133.67,0,0,0.004039799506246668,134.28
999999,1991-02-21,134.24,134.28,133.67,134.28,3220,3220,0.004542746499851159,134.87
999999,1991-02-22,134.85,134.87,134.28,134.87,0,0,0.0043745829317120444,134.4
999999,1991-02-25,134.37,134.4,134.33,134.87,810,810,-0.003497023809523801,133.93
999999,1991-02-26,133.9,133.93,133.9,134.44,1094,1094,-0.0035092959008437155,133.47
999999,1991-02-27,133.44,133.47,133.44,133.98,214,214,-0.003446467370944841,133.01
999999,1991-02-28,132.99,133.01,132.98,133.52,0,0,-0.003458386587474686,132.53
999999,1991-03-01,132.53,132.53,132.47,132.53,7124,7124,-0.0036218214743830813,131.99
999999,1991-03-04,132.09,131.99,131.98,132.09,2518,2518,-0.004091219031744768,131.46
999999,1991-03-05,131.42,131.46,131.41,131.99,982,982,-0.0040316446067244875,130.94
999999,1991-03-06,130.89,130.94,130.89,130.95,0,0,-0.003971284557812817,130.41
999999,1991-03-07,130.41,130.41,130.41,130.94,568,568,-0.004064105513380885,129.89
999999,1991-03-08,129.84,129.89,129.84,130.41,933,933,-0.0040033874817153765,129.31
999999,1991-03-11,129.3,129.31,129.3,129.89,0,0,-0.004485345294253995,128.77
999999,1991-03-12,128.73,128.77,128.73,129.31,957,957,-0.004193523336180725,126.15
999999,1991-03-13,126.13,126.15,126.13,128.77,498,498,-0.02076892588188668,125.63
999999,1991-03-14,125.61,125.63,125.61,126.15,326,326,-0.004139138740746719,125.17
999999,1991-03-15,125.08,125.17,125.08,125.62,790,790,-0.0036750019972836443,124.71
999999,1991-03-18,124.7,124.71,124.69,125.17,1250,1250,-0.0036885574532917005,124.22
